Element Path,Addition,Removal,Value Change,Optional → Required,Required → Optional,Type/Range Expansion,Type/Range Restriction
$.oldSpecOpenApi,N/A,N/A,N/A,N/A,N/A,N/A,N/A
$.newSpecOpenApi,N/A,N/A,N/A,N/A,N/A,N/A,N/A
$.newEndpoints,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.newEndpoints[*].path,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.newEndpoints[*].method,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.newEndpoints[*].summary,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.missingEndpoints,N/A,Breaking*,N/A,N/A,N/A,N/A,N/A
$.missingEndpoints[*].path,N/A,Breaking*,N/A,N/A,N/A,N/A,N/A
$.missingEndpoints[*].method,N/A,Breaking*,N/A,N/A,N/A,N/A,N/A
$.missingEndpoints[*].summary,N/A,Non-breaking,N/A,N/A,N/A,N/A,N/A
$.changedOperations,N/A,N/A,Depends**,N/A,N/A,N/A,N/A
$.changedOperations[*].pathUrl,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].httpMethod,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].oldOperation,N/A,N/A,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].newOperation,N/A,N/A,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].summary,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].operationId,Non-breaking,Non-breaking,Breaking*,N/A,N/A,N/A,N/A
$.changedOperations[*].deprecated,Non-breaking,Non-breaking,Non-breaking**,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.increased,Non-breaking,N/A,N/A,Breaking***,Non-breaking,N/A,N/A
$.changedOperations[*].parameters.increased[*],Non-breaking***,N/A,N/A,Breaking***,N/A,N/A,N/A
$.changedOperations[*].parameters.missing,N/A,Breaking,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.changed,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.changed[*].name,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.changed[*].in,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.changed[*].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.changed[*].required,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedOperations[*].parameters.changed[*].deprecated,Non-breaking,Non-breaking,Non-breaking**,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.changed[*].style,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.changed[*].explode,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.changed[*].allowReserved,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedOperations[*].parameters.changed[*].schema,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.changed[*].content,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].requestBody,Breaking***,Breaking,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].requestBody.description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].requestBody.required,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedOperations[*].requestBody.content,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].requestBody.content.increased,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].requestBody.content.missing,N/A,Breaking,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].requestBody.content.changed,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].requestBody.content.changed[*].schema,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].requestBody.content.changed[*].examples,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.increased,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.missing,N/A,Breaking,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].headers,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].headers.increased,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].headers.missing,N/A,Breaking,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].headers.changed,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].headers.changed[*].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].headers.changed[*].required,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].headers.changed[*].schema,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].headers.changed[*].deprecated,Non-breaking,Non-breaking,Non-breaking**,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].content,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].content.increased,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].content.missing,N/A,Breaking,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].content.changed,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].content.changed[*].schema,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].content.changed[*].examples,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].securityRequirements,Non-breaking,Non-breaking,Breaking****,N/A,N/A,Breaking,Non-breaking
$.changedOperations[*].securityRequirements.missing,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].securityRequirements.increased,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedOperations[*].securityRequirements.changed,N/A,N/A,Depends****,N/A,N/A,Breaking,Non-breaking
$.changedOperations[*].securityRequirements.changed[*].scopes,N/A,N/A,Depends****,N/A,N/A,Breaking,Non-breaking
$.changedOperations[*].extensions,Non-breaking,Non-breaking*******,Non-breaking*******,N/A,N/A,N/A,N/A
$.changedSchemas,N/A,N/A,Depends**,N/A,N/A,N/A,N/A
$.changedSchemas[*].oldSchema,N/A,N/A,N/A,N/A,N/A,N/A,N/A
$.changedSchemas[*].newSchema,N/A,N/A,N/A,N/A,N/A,N/A,N/A
$.changedSchemas[*].context,N/A,N/A,N/A,N/A,N/A,N/A,N/A
$.changedSchemas[*].type,N/A,N/A,Breaking,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].changedProperties,N/A,N/A,Depends**,N/A,N/A,N/A,N/A
$.changedSchemas[*].increasedProperties,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.changedSchemas[*].missingProperties,N/A,Breaking,N/A,N/A,N/A,N/A,N/A
$.changedSchemas[*].changeDeprecated,Non-breaking,Non-breaking,Non-breaking**,N/A,N/A,N/A,N/A
$.changedSchemas[*].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedSchemas[*].examples,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedSchemas[*].example,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedSchemas[*].changeTitle,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedSchemas[*].required,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedSchemas[*].required.increased,N/A,N/A,N/A,Breaking,N/A,N/A,N/A
$.changedSchemas[*].required.missing,N/A,N/A,N/A,N/A,Non-breaking,N/A,N/A
$.changedSchemas[*].changeDefault,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedSchemas[*].enumeration,Non-breaking,Breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].enumeration.increased,Non-breaking,N/A,N/A,N/A,N/A,Non-breaking,N/A
$.changedSchemas[*].enumeration.missing,N/A,Breaking,N/A,N/A,N/A,N/A,Breaking
$.changedSchemas[*].changeFormat,Non-breaking,Non-breaking,Breaking,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].readOnly,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedSchemas[*].writeOnly,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedSchemas[*].changedType,N/A,N/A,Breaking,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].maxLength,Non-breaking,Non-breaking,N/A,N/A,N/A,Breaking,Non-breaking
$.changedSchemas[*].numericRange,N/A,N/A,N/A,N/A,N/A,Depends******,Depends******
$.changedSchemas[*].numericRange.minimum,Non-breaking,Non-breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].numericRange.maximum,Non-breaking,Non-breaking,N/A,N/A,N/A,Breaking,Non-breaking
$.changedSchemas[*].numericRange.exclusiveMinimum,Non-breaking,Non-breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].numericRange.exclusiveMaximum,Non-breaking,Non-breaking,N/A,N/A,N/A,Breaking,Non-breaking
$.changedSchemas[*].multipleOf,Non-breaking,Non-breaking,Breaking,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].maxItems,Non-breaking,Non-breaking,N/A,N/A,N/A,Breaking,Non-breaking
$.changedSchemas[*].minItems,Non-breaking,Non-breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].maxProperties,Non-breaking,Non-breaking,N/A,N/A,N/A,Breaking,Non-breaking
$.changedSchemas[*].minProperties,Non-breaking,Non-breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].nullable,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedSchemas[*].uniqueItems,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedSchemas[*].discriminatorPropertyChanged,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.changedSchemas[*].pattern,Non-breaking,Non-breaking,Breaking,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].items,N/A,N/A,Depends**,N/A,N/A,N/A,N/A
$.changedSchemas[*].oneOfSchema,N/A,N/A,Depends******,N/A,N/A,N/A,N/A
$.changedSchemas[*].oneOfSchema.increased,Non-breaking,N/A,N/A,N/A,N/A,Non-breaking,N/A
$.changedSchemas[*].oneOfSchema.missing,N/A,Breaking,N/A,N/A,N/A,N/A,Breaking
$.changedSchemas[*].oneOfSchema.changed,N/A,N/A,Depends******,N/A,N/A,N/A,N/A
$.changedSchemas[*].addProp,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedSchemas[*].extensions,Non-breaking,Non-breaking*******,Non-breaking*******,N/A,N/A,N/A,N/A
$.changedSchemas[*].properties,N/A,N/A,Depends**,N/A,N/A,N/A,N/A
$.changedSchemas[*].properties.increased,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.changedSchemas[*].properties.missing,N/A,Breaking,N/A,N/A,N/A,N/A,N/A
$.changedSchemas[*].properties.changed,N/A,N/A,Depends**,N/A,N/A,N/A,N/A
$.changedSchemas[*].properties.changed[*].type,N/A,N/A,Breaking,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].properties.changed[*].format,Non-breaking,Non-breaking,Breaking,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].properties.changed[*].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedSchemas[*].properties.changed[*].nullable,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedSchemas[*].properties.changed[*].readOnly,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedSchemas[*].properties.changed[*].writeOnly,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedSchemas[*].properties.changed[*].enum,Non-breaking,Breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].properties.changed[*].items,N/A,N/A,Depends**,N/A,N/A,N/A,N/A
$.changedSchemas[*].properties.changed[*].additionalProperties,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedSchemas[*].format,Non-breaking,Non-breaking,Breaking,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].items,N/A,N/A,Depends**,N/A,N/A,N/A,N/A
$.changedSchemas[*].enum,Non-breaking,Breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].enum.increased,Non-breaking,N/A,N/A,N/A,N/A,Non-breaking,N/A
$.changedSchemas[*].enum.missing,N/A,Breaking,N/A,N/A,N/A,N/A,Breaking
$.changedSchemas[*].discriminator,Non-breaking,Breaking,Breaking,N/A,N/A,N/A,N/A
$.changedSchemas[*].discriminator.propertyName,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.changedSchemas[*].discriminator.mapping,Non-breaking,Breaking,Breaking,N/A,N/A,N/A,N/A
$.changedSchemas[*].nullable,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedSchemas[*].oneOf,Breaking******,Breaking******,N/A,N/A,N/A,N/A,N/A
$.changedSchemas[*].oneOf.increased,Non-breaking,N/A,N/A,N/A,N/A,Non-breaking,N/A
$.changedSchemas[*].oneOf.missing,N/A,Breaking,N/A,N/A,N/A,N/A,Breaking
$.changedSchemas[*].oneOf.changed,N/A,N/A,Depends******,N/A,N/A,N/A,N/A
$.changedSchemas[*].allOf,Breaking******,Breaking******,N/A,N/A,N/A,N/A,N/A
$.changedSchemas[*].allOf.increased,Non-breaking,N/A,N/A,N/A,N/A,Non-breaking,N/A
$.changedSchemas[*].allOf.missing,N/A,Breaking,N/A,N/A,N/A,N/A,Breaking
$.changedSchemas[*].allOf.changed,N/A,N/A,Depends******,N/A,N/A,N/A,N/A
$.changedSchemas[*].anyOf,Breaking******,Breaking******,N/A,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].anyOf.increased,Non-breaking,N/A,N/A,N/A,N/A,Non-breaking,N/A
$.changedSchemas[*].anyOf.missing,N/A,Breaking,N/A,N/A,N/A,N/A,Breaking
$.changedSchemas[*].anyOf.changed,N/A,N/A,Depends******,N/A,N/A,N/A,N/A
$.changedSchemas[*].additionalProperties,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedSchemas[*].minItems,Non-breaking,Non-breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].maxItems,Non-breaking,Non-breaking,N/A,N/A,N/A,Breaking,Non-breaking
$.changedSchemas[*].minLength,Non-breaking,Non-breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].maxLength,Non-breaking,Non-breaking,N/A,N/A,N/A,Breaking,Non-breaking
$.changedSchemas[*].minProperties,Non-breaking,Non-breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].maxProperties,Non-breaking,Non-breaking,N/A,N/A,N/A,Breaking,Non-breaking
$.changedSchemas[*].minimum,Non-breaking,Non-breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].maximum,Non-breaking,Non-breaking,N/A,N/A,N/A,Breaking,Non-breaking
$.changedSchemas[*].exclusiveMinimum,Non-breaking,Non-breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.changedSchemas[*].exclusiveMaximum,Non-breaking,Non-breaking,N/A,N/A,N/A,Breaking,Non-breaking
$.changedSchemas[*].uniqueItems,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedSchemas[*].pattern,Non-breaking,Non-breaking,Breaking,N/A,N/A,Non-breaking,Breaking
$.changedExtensions,Non-breaking,Non-breaking*******,Non-breaking*******,N/A,N/A,N/A,N/A
$.changedExtensions.increased,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.changedExtensions.missing,N/A,Non-breaking*******,N/A,N/A,N/A,N/A,N/A
$.changedExtensions.changed,N/A,N/A,Non-breaking*******,N/A,N/A,N/A,N/A