Element Path (JSON Path),Addition,Removal,Value Change,Optional → Required,Required → Optional,Type/Range Expansion,Type/Range Restriction
$.openapi,N/A,N/A,Non-breaking,N/A,N/A,N/A,N/A
$.info,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.info.title,N/A,N/A,Non-breaking,N/A,N/A,N/A,N/A
$.info.summary,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.info.description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.info.termsOfService,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.info.contact,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A,N/A
$.info.contact.name,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.info.contact.url,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.info.contact.email,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.info.license,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A,N/A
$.info.license.name,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.info.license.url,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.info.license.identifier,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.info.version,N/A,N/A,Non-breaking,N/A,N/A,N/A,N/A
$.jsonSchemaDialect,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.servers[*],Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.servers[*].url,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.servers[*].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.servers[*].variables,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.servers[*].variables[:{name}],Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.servers[*].variables[:{name}].enum,Non-breaking,Breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.servers[*].variables[:{name}].default,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.servers[*].variables[:{name}].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}],Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}].summary,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}].$ref,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}],Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].tags,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].summary,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].externalDocs,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].operationId,Non-breaking,Non-breaking,Breaking*,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].parameters[*],Breaking***,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].parameters[*].$ref,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].parameters[*].name,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].parameters[*].in,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].parameters[*].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].parameters[*].required,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.paths[:{path}][:{method}].parameters[*].deprecated,Non-breaking,Non-breaking,Non-breaking**,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].parameters[*].allowEmptyValue,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.paths[:{path}][:{method}].parameters[*].style,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].parameters[*].explode,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].parameters[*].allowReserved,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.paths[:{path}][:{method}].parameters[*].schema,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].parameters[*].schema.$ref,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].parameters[*].schema.type,N/A,N/A,Breaking,N/A,N/A,Non-breaking,Breaking
$.paths[:{path}][:{method}].parameters[*].schema.format,Non-breaking,Non-breaking,Breaking,N/A,N/A,Non-breaking,Breaking
$.paths[:{path}][:{method}].parameters[*].schema.enum,Non-breaking,Breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.paths[:{path}][:{method}].parameters[*].schema.minimum,Non-breaking,Non-breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.paths[:{path}][:{method}].parameters[*].schema.maximum,Non-breaking,Non-breaking,N/A,N/A,N/A,Breaking,Non-breaking
$.paths[:{path}][:{method}].parameters[*].schema.exclusiveMinimum,Non-breaking,Non-breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.paths[:{path}][:{method}].parameters[*].schema.exclusiveMaximum,Non-breaking,Non-breaking,N/A,N/A,N/A,Breaking,Non-breaking
$.paths[:{path}][:{method}].parameters[*].schema.minLength,Non-breaking,Non-breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.paths[:{path}][:{method}].parameters[*].schema.maxLength,Non-breaking,Non-breaking,N/A,N/A,N/A,Breaking,Non-breaking
$.paths[:{path}][:{method}].parameters[*].schema.pattern,Non-breaking,Non-breaking,Breaking,N/A,N/A,Non-breaking,Breaking
$.paths[:{path}][:{method}].parameters[*].schema.multipleOf,Non-breaking,Non-breaking,Breaking,N/A,N/A,Non-breaking,Breaking
$.paths[:{path}][:{method}].parameters[*].schema.default,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].parameters[*].schema.nullable,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.paths[:{path}][:{method}].parameters[*].schema.readOnly,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.paths[:{path}][:{method}].parameters[*].schema.writeOnly,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.paths[:{path}][:{method}].parameters[*].example,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].parameters[*].examples,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].parameters[*].content,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].requestBody,Breaking***,Non-breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].requestBody.$ref,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].requestBody.description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].requestBody.content,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].requestBody.content[:{mediaType}],Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].requestBody.content[:{mediaType}].schema,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].requestBody.content[:{mediaType}].schema.$ref,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].requestBody.content[:{mediaType}].schema.type,N/A,N/A,Breaking,N/A,N/A,Non-breaking,Breaking
$.paths[:{path}][:{method}].requestBody.content[:{mediaType}].schema.items,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].requestBody.content[:{mediaType}].schema.properties,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].requestBody.content[:{mediaType}].schema.properties[:{property}],Non-breaking***,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].requestBody.content[:{mediaType}].schema.required,N/A,Non-breaking,N/A,Breaking,Non-breaking,N/A,N/A
$.paths[:{path}][:{method}].requestBody.content[:{mediaType}].schema.additionalProperties,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.paths[:{path}][:{method}].requestBody.content[:{mediaType}].examples,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].requestBody.required,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.paths[:{path}][:{method}].responses,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses.default,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses.default.$ref,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}],Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].$ref,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].headers,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].headers[:{name}],Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].headers[:{name}].$ref,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].headers[:{name}].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].headers[:{name}].required,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].headers[:{name}].deprecated,Non-breaking,Non-breaking,Non-breaking**,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].headers[:{name}].schema,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].content,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].content[:{mediaType}],Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].content[:{mediaType}].schema,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].content[:{mediaType}].schema.$ref,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].content[:{mediaType}].schema.type,N/A,N/A,Breaking,N/A,N/A,Non-breaking,Breaking
$.paths[:{path}][:{method}].responses[:{status}].content[:{mediaType}].schema.items,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].content[:{mediaType}].schema.properties,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].content[:{mediaType}].schema.properties[:{property}],Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].content[:{mediaType}].schema.required,N/A,Non-breaking,N/A,Breaking,Non-breaking,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].content[:{mediaType}].schema.additionalProperties,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].content[:{mediaType}].examples,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].links,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].links[:{name}],Non-breaking,Non-breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].responses[:{status}].links[:{name}].$ref,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].callbacks,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].callbacks[:{name}],Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].callbacks[:{name}].$ref,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].deprecated,Non-breaking,Non-breaking,Non-breaking**,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].security,Non-breaking,Non-breaking,Breaking****,N/A,N/A,Breaking,Non-breaking
$.paths[:{path}][:{method}].servers,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.webhooks,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.webhooks[:{name}],Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.webhooks[:{name}].$ref,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.components,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A,N/A
$.components.schemas,Non-breaking,Breaking*****,N/A,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}],Non-breaking,Breaking*****,N/A,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].$ref,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].type,N/A,N/A,Breaking,N/A,N/A,Non-breaking,Breaking
$.components.schemas[:{schema}].format,Non-breaking,Non-breaking,Breaking,N/A,N/A,Non-breaking,Breaking
$.components.schemas[:{schema}].items,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].properties,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].properties[:{property}],Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].properties[:{property}].type,N/A,N/A,Breaking,N/A,N/A,Non-breaking,Breaking
$.components.schemas[:{schema}].properties[:{property}].format,Non-breaking,Non-breaking,Breaking,N/A,N/A,Non-breaking,Breaking
$.components.schemas[:{schema}].properties[:{property}].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].properties[:{property}].nullable,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.components.schemas[:{schema}].properties[:{property}].default,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].properties[:{property}].readOnly,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.components.schemas[:{schema}].properties[:{property}].writeOnly,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.components.schemas[:{schema}].properties[:{property}].deprecated,Non-breaking,Non-breaking,Non-breaking**,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].required,Non-breaking,Non-breaking,N/A,Breaking,Non-breaking,N/A,N/A
$.components.schemas[:{schema}].additionalProperties,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.components.schemas[:{schema}].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].default,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].enum,Non-breaking,Breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.components.schemas[:{schema}].discriminator,Non-breaking,Breaking,Breaking,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].discriminator.propertyName,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].discriminator.mapping,Non-breaking,Breaking,Breaking,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].xml,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].externalDocs,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].example,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].examples,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].deprecated,Non-breaking,Non-breaking,Non-breaking**,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].allOf,Breaking******,Breaking******,N/A,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].oneOf,Breaking******,Breaking******,N/A,N/A,N/A,N/A,N/A
$.components.schemas[:{schema}].anyOf,Breaking******,Breaking******,N/A,N/A,N/A,Non-breaking,Breaking
$.components.schemas[:{schema}].not,Breaking,Breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.components.schemas[:{schema}].nullable,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.components.schemas[:{schema}].pattern,Non-breaking,Non-breaking,Breaking,N/A,N/A,Non-breaking,Breaking
$.components.schemas[:{schema}].minItems,Non-breaking,Non-breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.components.schemas[:{schema}].maxItems,Non-breaking,Non-breaking,N/A,N/A,N/A,Breaking,Non-breaking
$.components.schemas[:{schema}].uniqueItems,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.components.schemas[:{schema}].minProperties,Non-breaking,Non-breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.components.schemas[:{schema}].maxProperties,Non-breaking,Non-breaking,N/A,N/A,N/A,Breaking,Non-breaking
$.components.responses,Non-breaking,Breaking*****,N/A,N/A,N/A,N/A,N/A
$.components.responses[:{response}],Non-breaking,Breaking*****,N/A,N/A,N/A,N/A,N/A
$.components.parameters,Non-breaking,Breaking*****,N/A,N/A,N/A,N/A,N/A
$.components.parameters[:{parameter}],Non-breaking,Breaking*****,N/A,N/A,N/A,N/A,N/A
$.components.examples,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A,N/A
$.components.examples[:{example}],Non-breaking,Non-breaking,N/A,N/A,N/A,N/A,N/A
$.components.requestBodies,Non-breaking,Breaking*****,N/A,N/A,N/A,N/A,N/A
$.components.requestBodies[:{requestBody}],Non-breaking,Breaking*****,N/A,N/A,N/A,N/A,N/A
$.components.headers,Non-breaking,Breaking*****,N/A,N/A,N/A,N/A,N/A
$.components.headers[:{header}],Non-breaking,Breaking*****,N/A,N/A,N/A,N/A,N/A
$.components.securitySchemes,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}],Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].type,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].name,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].in,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].scheme,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].bearerFormat,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].flows,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].flows.implicit,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].flows.implicit.authorizationUrl,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].flows.implicit.scopes,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].flows.password,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].flows.password.tokenUrl,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].flows.password.scopes,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].flows.clientCredentials,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].flows.clientCredentials.tokenUrl,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].flows.clientCredentials.scopes,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].flows.authorizationCode,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].flows.authorizationCode.authorizationUrl,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].flows.authorizationCode.tokenUrl,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].flows.authorizationCode.scopes,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.components.securitySchemes[:{name}].openIdConnectUrl,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.components.links,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A,N/A
$.components.links[:{name}],Non-breaking,Non-breaking,N/A,N/A,N/A,N/A,N/A
$.components.callbacks,Non-breaking,Breaking*****,N/A,N/A,N/A,N/A,N/A
$.components.callbacks[:{name}],Non-breaking,Breaking*****,N/A,N/A,N/A,N/A,N/A
$.components.pathItems,Non-breaking,Breaking*****,N/A,N/A,N/A,N/A,N/A
$.components.pathItems[:{name}],Non-breaking,Breaking*****,N/A,N/A,N/A,N/A,N/A
$.security,Non-breaking,Non-breaking,Breaking****,N/A,N/A,Breaking,Non-breaking
$.tags,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A,N/A
$.tags[*],Non-breaking,Non-breaking,N/A,N/A,N/A,N/A,N/A
$.tags[*].name,N/A,N/A,Non-breaking,N/A,N/A,N/A,N/A
$.tags[*].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.tags[*].externalDocs,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.externalDocs,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A,N/A
$.externalDocs.description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.externalDocs.url,Non-breaking,Non-breaking,Breaking,N/A,N/A,N/A,N/A
$['x-*'],Non-breaking,Non-breaking*******,Non-breaking*******,N/A,N/A,N/A,N/A